task_index,task_name,total_rollouts,success_count,failure_count,success_rate,timeout_count,timeout_rate,avg_success_steps,avg_all_steps,avg_episode_time_seconds,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,avg_control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,zero_equivalent_arm_action_count,zero_equivalent_arm_action_rate,zero_equivalent_full_noop_count,zero_equivalent_full_noop_rate,repeated_action_count,repeated_chunk_count,collapse_warning_count
0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,50,49,1,0.98,1,0.02,281.734693877551,286.5,13.998941599999998,135.84087524064864,148.8963227719068,17.230217822845276,20.69254542793591,25.8814163506031,335.1127354322585,382.86711536347866,42.506097052733935,23.526036717964942,15.181959629058838,15.388671875,0,0.0,0,0.0,0,0,0
1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,50,49,1,0.98,1,0.02,250.3469387755102,255.74,12.499834279999998,135.51056989421434,147.5811277516186,17.14679769209657,19.892144898717284,23.254113981965926,329.38985504573776,364.0218008309603,41.67926686978992,23.992744477106502,15.182625770568848,15.388671875,0,0.0,0,0.0,0,0,0
2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,50,48,2,0.96,2,0.04,242.64583333333334,253.74,10.078125179999999,134.87858402891726,147.5458218716085,17.137564235407474,13.301755914240994,15.978137578349559,274.535080124497,303.5462312400341,34.88220612916285,28.667911550581714,15.18129301071167,15.388671875,0,0.0,0,0.0,0,0,0
3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,50,48,2,0.96,2,0.04,229.41666666666666,241.04,10.600577920000001,135.88209195825897,148.71242716908455,17.193842535375452,14.212864370743993,18.449985003098845,283.63186299556594,321.7270217835903,35.88936202026535,27.863409760121627,15.183571338653564,15.43359375,0,0.0,0,0.0,0,0,0
4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,50,48,2,0.96,2,0.04,227.39583333333334,239.1,13.54658072,135.35606349408235,148.4723810106516,17.198315386659228,18.322630267588725,22.44913848116994,315.88943350944885,355.6931730359792,40.13685064833566,24.914759973612096,15.189235210418701,15.5078125,0,0.0,0,0.0,0,0,0
5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,50,44,6,0.88,6,0.12,184.22727272727272,224.52,10.0108936,136.4816793241913,149.58717487752438,17.336796251229003,11.726747053240139,14.1230383887887,263.34329551349686,291.4742426946759,33.45158911475561,29.893946041531898,15.183571338653564,15.5078125,0,0.0,0,0.0,0,0,0
6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,50,44,6,0.88,6,0.12,224.79545454545453,260.22,12.527387699999998,136.75088605071429,150.3307804465294,17.33165868093366,14.813647395249388,18.40287446975708,289.21534546541943,324.8847693204879,36.65483857293649,27.281527867328652,15.193336009979248,15.5078125,0,0.0,0,0.0,0,0,0
7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,50,50,0,1.0,0,0.0,243.06,243.06,10.50456652,136.07823067860116,149.12521429359913,17.299503529864133,14.64550974966199,18.476784322410822,286.271699545694,324.9984122812748,36.39346464231854,27.47746085260577,15.182625770568848,15.5078125,0,0.0,0,0.0,0,0,0
8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,50,41,9,0.82,9,0.18,396.9268292682927,419.08,16.316597480000002,136.03992227503028,148.98517709225416,17.13321346205044,14.374197979040861,16.906005772762,284.55200747174945,312.6828428357839,35.83720281177564,27.903963522270576,15.179294109344482,15.5078125,0,0.0,0,0.0,0,0,0
9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,50,49,1,0.98,1,0.02,256.1020408163265,261.38,11.515124419999998,136.00169124586856,147.78504250571132,17.19142963793518,13.94472353283522,16.85482102911919,281.0577477822328,311.22826561331743,35.527385365081386,28.14730072939352,15.182625770568848,15.5078125,0,0.0,0,0.0,0,0,0
