task_index,task_name,total_rollouts,success_count,failure_count,success_rate,timeout_count,timeout_rate,avg_success_steps,avg_all_steps,avg_episode_time_seconds,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,avg_control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,zero_equivalent_arm_action_count,zero_equivalent_arm_action_rate,zero_equivalent_full_noop_count,zero_equivalent_full_noop_rate,repeated_action_count,repeated_chunk_count,collapse_warning_count
0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,1,1,0,1.0,0,0.0,267.0,267.0,13.792195,153.0322611112805,148.96775484085083,19.487254223908376,20.672948249661076,24.094416026491672,354.0930317386108,392.21492838114494,45.090498423643325,22.177621338415882,15.181959629058838,15.388671875,0,0.0,0,0.0,0,0,0
1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,1,1,0,1.0,0,0.0,234.0,234.0,11.131913,132.17085221161446,140.89453928172588,16.944981052771084,19.40983228194408,22.61638719355687,318.92611496150494,351.67607022449374,40.887963456603195,24.457075272564232,15.182625770568848,15.388671875,0,0.0,0,0.0,0,0,0
2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,1,1,0,1.0,0,0.0,249.0,249.0,9.53334,131.91190036013722,141.25768216326833,16.95253337961603,13.213845441140323,16.226617130450904,268.7046878854744,295.9451211616397,34.53232936680796,28.958370846572183,15.18129301071167,15.388671875,0,0.0,0,0.0,0,0,0
3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,1,0,1.0,0,0.0,219.0,219.0,9.309746,132.69462542874473,139.80385633185506,16.965522885866907,13.43717158146917,16.023110190872103,270.69952731419886,294.76389717310667,34.609985227386154,28.89339574778902,15.183571338653564,15.43359375,0,0.0,0,0.0,0,0,0
4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,1,1,0,1.0,0,0.0,230.0,230.0,12.978197,134.2726101906135,143.2708691805601,16.93002476316431,19.109658783544663,22.60279762558639,321.6239095119567,357.35488496720785,40.55257989498584,24.659343563087237,15.189235210418701,15.5078125,0,0.0,0,0.0,0,0,0
5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,1,1,0,1.0,0,0.0,167.0,167.0,7.786633,136.24499720476922,149.64557252824306,17.132604438923074,11.268542031060436,13.085963437333703,260.5297380082664,276.98189578950405,32.761224539961646,30.523889568908366,15.183571338653564,15.5078125,0,0.0,0,0.0,0,0,0
6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,1,1,0,1.0,0,0.0,208.0,208.0,10.419098,133.27380327078012,142.609182279557,16.659225408847515,14.31358944123181,16.711906995624304,281.67398553341627,304.8144783824682,35.209248191677034,28.401628871938986,15.193336009979248,15.5078125,0,0.0,0,0.0,0,0,0
7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,1,1,0,1.0,0,0.0,240.0,240.0,9.995214,134.8766269783179,150.1402962952852,16.859578372289736,13.877907721325755,15.626757952850312,281.7931280160944,302.78235329315066,35.2241410020118,28.38962062816197,15.182625770568848,15.5078125,0,0.0,0,0.0,0,0,0
8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,1,1,0,1.0,0,0.0,378.0,378.0,14.442785,134.038630562524,143.0886186659336,17.02077848413003,14.08999337859097,15.535563882440329,278.65536701089394,298.148435074836,35.38480850931986,28.26071532184819,15.179294109344482,15.5078125,0,0.0,0,0.0,0,0,0
9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,1,0,1.0,0,0.0,249.0,249.0,10.830619,132.10558897117153,139.22755056992173,16.977425088664614,13.772538066448936,15.743191831279546,272.7368905907497,301.0224226862192,35.050524091983895,28.530243866701596,15.182625770568848,15.5078125,0,0.0,0,0.0,0,0,0
