task_index,task_name,total_rollouts,success_count,failure_count,success_rate,timeout_count,timeout_rate,avg_success_steps,avg_all_steps,avg_episode_time_seconds,avg_inference_latency_ms,p95_inference_latency_ms,avg_amortized_inference_ms_per_action,avg_environment_step_latency_ms,p95_environment_step_latency_ms,avg_end_to_end_latency_ms,p95_end_to_end_latency_ms,avg_amortized_end_to_end_ms_per_action,avg_control_frequency_hz,peak_vram_allocated_gb,peak_vram_reserved_gb,zero_equivalent_arm_action_count,zero_equivalent_arm_action_rate,zero_equivalent_full_noop_count,zero_equivalent_full_noop_rate,repeated_action_count,repeated_chunk_count,collapse_warning_count
0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,50,50,0,1.0,0,0.0,284.38,284.38,15.4083294,199.17109674354163,208.88987760990858,25.255326494732792,19.347914095884956,24.10812794696539,383.07205326359303,430.0475807860493,48.57436613223562,20.586990209561698,9.24874210357666,9.66796875,0,0.0,0,0.0,0,0,0
1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,50,47,3,0.94,3,0.06,250.7659574468085,266.92,14.3868266,199.33374942393954,208.5449304431677,25.346124139998906,18.53817879579203,21.06431205756962,376.61242555073943,404.9987401813268,47.88785300161882,20.882122236012453,9.249578952789307,9.66796875,0,0.0,0,0.0,0,0,0
2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,50,50,0,1.0,0,0.0,243.34,243.34,11.1311927,198.7424782943583,209.01341969147325,25.25321537298249,12.41560175716681,14.432247029617429,326.58737082453626,347.58951514959335,41.49782816591872,24.09764665277781,9.247904300689697,9.66796875,0,0.0,0,0.0,0,0,0
3,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,50,49,1,0.98,1,0.02,228.3265306122449,234.16,11.67611026,200.06087557062187,210.89269937947392,25.426254086870973,13.288770510704039,17.492842918727543,334.9881504026432,373.05678464472294,42.574510403069105,23.48823252534484,9.250596523284912,9.712890625,0,0.0,0,0.0,0,0,0
4,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,50,45,5,0.9,5,0.1,228.24444444444444,257.42,15.481689540000001,199.25373929516715,209.56315472722054,25.218269078690646,16.989144997700336,20.84886496886611,364.5010678368598,403.3042676746844,46.132564641927175,21.676661762939553,9.256222248077393,9.787109375,0,0.0,0,0.0,0,0,0
5,STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,50,46,4,0.92,4,0.08,185.30434782608697,212.08,10.770755379999999,199.47316250408286,210.19912213087082,25.376206735006395,10.920390348476774,12.759892037138343,315.2151648852673,338.05763460695744,40.100458075275895,24.937370992690834,9.250596523284912,9.787109375,0,0.0,0,0.0,0,0,0
6,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,50,46,4,0.92,4,0.08,221.1304347826087,245.04,13.2839442,200.23720680505576,210.6451752595603,25.364686986732494,13.777234257386473,17.034175770822905,339.5165536881511,371.9818917103111,43.007647022854265,23.25167892743818,9.263237476348877,9.787109375,0,0.0,0,0.0,0,0,0
7,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,50,50,0,1.0,0,0.0,240.58,240.58,11.803232720000004,199.62128922050883,209.4227910041809,25.373759349751268,13.622919975365969,17.176180519163605,337.08255790037566,373.2107847929001,42.84639047549043,23.33918887687945,9.249578475952148,9.787109375,0,0.0,0,0.0,0,0,0
8,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,50,43,7,0.86,7,0.14,391.06976744186045,409.12,18.41134274,199.0178768763554,208.62964000552893,25.0523578879847,13.39922159064108,15.097456844523547,335.29615727009127,353.2861666753888,42.20705929656262,23.69271910117275,9.245394229888916,9.787109375,0,0.0,0,0.0,0,0,0
9,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,50,48,2,0.96,2,0.04,256.5833333333333,267.12,13.152579079999999,198.93741705705776,208.99827890098092,25.157629335831878,12.876219246966034,15.366700245067475,330.6649437867868,357.35664926469326,41.81589473314487,23.91435138197251,9.249578475952148,9.787109375,0,0.0,0,0.0,0,0,0
