metric,bf16,nf4,nf4_minus_bf16,relative_change_percent
overall_success_rate,0.94,0.932,-0.007999999999999896,-0.8510638297872231
macro_average_task_success_rate,0.9400000000000001,0.932,-0.008000000000000007,-0.8510638297872347
overall_timeout_rate,0.06,0.068,0.008000000000000007,13.333333333333346
avg_success_steps,252.3808510638298,250.75107296137338,-1.629778102456413,-0.6457613941733736
avg_all_steps,268.438,269.06,0.6220000000000141,0.23171086060841392
avg_inference_latency_ms,135.88868377684457,154.7742449146187,18.88556113777412,13.897817399414842
p95_inference_latency_ms,148.8451637327671,157.68324621021748,8.83808247745037,5.937769327405252
avg_amortized_inference_ms_per_action,17.21350480612962,19.601899835391908,2.3883950292622877,13.87512337645379
avg_end_to_end_latency_ms,294.48014247742697,299.642987993047,5.162845515620006,1.7532066753926399
avg_amortized_end_to_end_ms_per_action,37.30285117905224,37.94928439326198,0.6464332142097433,1.7329324536263702
avg_control_frequency_hz,26.807602325088734,26.350958021689422,-0.4566443033993117,-1.7034134491466506
peak_vram_allocated_gb,15.193336009979248,6.287960529327393,-8.905375480651855,-58.6136940221861
peak_vram_reserved_gb,15.5078125,6.953125,-8.5546875,-55.16372795969773
zero_equivalent_arm_action_rate,0.0,0.0,0.0,
zero_equivalent_full_noop_rate,0.0,0.0,0.0,
repeated_action_count,0.0,0.0,0.0,
repeated_chunk_count,0.0,0.0,0.0,
collapse_warning_count,0.0,0.0,0.0,
